AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,DATE_BUILD,REG_FEE,COMMIS,SALES_PRICE,Area
Chrompet,976,64,1.0,1.0,3,2,26-09-1989,358311,71662,11943700,7
Adyar,604,156,1.0,1.0,2,2,13-04-1988,246580,94838,6322560,0
Velachery,1672,194,2.0,1.0,4,0,01-07-1989,414380,163571,10904740,15
KK Nagar,2382,49,4.0,2.0,6,0,12-08-1986,582166,418432,18192700,9
KK Nagar,1324,85,1.0,1.0,3,2,20-12-1983,322657,89627,8962700,9
Karapakkam,1198,51,1.0,1.0,3,2,28-09-1975,466356,116589,10599000,12
Karapakkam,1347,41,2.0,2.0,4,0,17-02-1981,405175,140571,8268875,12
Velachery,1845,45,3.0,2.0,5,2,29-06-1982,376053,170933,11395560,15
Karapakkam,1569,66,2.0,2.0,4,0,10-10-1998,334115,87925,8792500,12
T Nagar,1548,149,1.0,1.0,4,0,31-01-1991,529978,79497,13249450,13
Chrompet,1143,105,1.0,1.0,3,2,11-02-2006,307087,102362,9305660,7
Chrompet,1127,185,1.0,1.0,3,0,29-01-1998,239151,73585,9198100,7
Karapakkam,585,101,1.0,1.0,2,2,07-09-1995,195338,42974,3906750,12
KK Nagar,1823,69,3.0,2.0,5,0,05-05-1989,376198,85988,10748500,9
KK Nagar,1891,64,3.0,2.0,5,2,05-01-1990,775789,202380,16864980,9
Velachery,1781,103,2.0,1.0,4,0,29-06-1953,310062,166957,7950320,15
KK Nagar,2328,58,4.0,2.0,6,2,28-03-1986,913666,466156,18646240,9
Velachery,1958,154,3.0,2.0,5,0,14-05-1969,341704,75934,9491790,15
Karapakkam,977,39,1.0,1.0,3,0,15-11-1996,354763,149000,7095250,12
Adyar,797,74,1.0,1.0,2,2,30-01-1969,239253,111651,7975085,0
Chrompet,700,66,1.0,1.0,2,2,17-11-1997,223160,104606,6973750,7
Karapakkam,1483,21,2.0,2.0,4,2,09-09-2005,351133,190615,10032375,12
Chrompet,843,99,1.0,1.0,3,0,15-03-1974,250013,125007,7812910,7
Karapakkam,1464,185,2.0,2.0,4,2,11-02-2006,431460,134831,8988750,12
Adyar,858,149,1.0,1.0,3,2,10-02-1995,315582,47815,9563095,0
KK Nagar,1927,36,3.0,2.0,5,2,01-02-2001,688403,229468,17651360,9
T Nagar,1664,90,1.0,1.0,4,0,29-04-1995,416258,67138,13427680,13
Adyar,1293,136,2.0,2.0,4,0,31-07-2005,327754,45521,9104275,0
Anna Nagar,1681,93,1.0,1.0,4,0,02-06-2002,677555,329621,18312300,4
Chrompet,1073,163,1.0,1.0,3,2,18-09-1995,253785,29283,9760960,7
Chrompet,916,109,1.0,1.0,3,0,25-10-1992,212274,87838,7319800,7
Velachery,1617,18,2.0,1.0,4,0,15-08-1981,389353,97338,12167290,15
KK Nagar,2223,39,4.0,2.0,6,0,31-10-1994,390709,260473,11839680,9
Chrompet,877,21,1.0,1.0,3,2,23-11-1979,366588,63205,12640950,7
Karapakkam,802,18,1.0,1.0,2,2,30-07-1985,266305,187980,7832500,12
KK Nagar,2057,131,3.0,2.0,5,2,02-08-1987,364673,91168,11396020,9
Anna Nagar,1990,199,2.0,1.0,5,2,24-12-2008,507533,268694,14927450,4
Karapakkam,975,78,1.0,1.0,3,2,27-11-2002,363484,123915,8261000,12
T Nagar,1519,115,1.0,1.0,4,2,15-06-1969,654117,127189,18169910,13
Karapakkam,1537,42,2.0,2.0,4,0,28-11-1984,359860,147215,8178625,12
Karapakkam,1502,164,2.0,2.0,4,2,25-09-1969,273757,113509,6677000,12
Adyar,1016,24,1.0,1.0,3,0,01-12-1972,246464,91544,7041840,0
T Nagar,1502,64,1.0,1.0,4,0,08-05-1974,320743,179239,9433610,13
Karapakkam,1497,170,2.0,2.0,4,0,08-04-1994,269441,146968,8164875,12
Adyar,850,179,1.0,1.0,3,0,22-11-1986,223553,52601,6575100,0
Anna Nagar,1940,163,2.0,1.0,5,0,23-09-1967,411770,85194,14198960,4
Karapakkam,1523,79,2.0,2.0,4,2,15-02-1983,290483,165990,6916250,12
Chrompet,711,94,1.0,1.0,2,2,26-05-1975,184282,101673,6354550,7
Velachery,1671,62,2.0,1.0,4,0,26-12-1984,286748,73525,7352510,15
Chrompet,1293,73,2.0,1.0,4,2,20-10-1990,392498,168214,14017800,7
Karapakkam,1615,106,2.0,2.0,4,2,15-11-1986,565260,294918,12288250,12
Velachery,1526,62,2.0,1.0,4,2,09-10-1982,354564,90914,9091390,15
KK Nagar,2296,170,4.0,2.0,6,2,24-11-1996,487132,343858,14327400,9
Anna Nagar,1600,92,1.0,1.0,4,0,23-11-1983,483649,235624,12401250,4
Karapakkam,1122,115,1.0,1.0,3,0,22-10-1990,304571,140571,7809500,12
Chrompet,821,79,1.0,1.0,3,0,10-03-1972,166962,40071,6678470,7
Velachery,1678,19,2.0,1.0,4,2,09-07-1984,563649,303503,14452540,15
Karapakkam,587,171,1.0,1.0,2,2,25-05-1981,243701,67407,5185125,12
Adyar,613,74,1.0,1.0,2,0,06-05-1971,216772,12387,6193485,0
Chrompet,714,92,1.0,1.0,2,2,07-05-1997,203624,32580,8144950,7
Karapakkam,596,118,1.0,1.0,2,0,03-01-1990,207576,138384,5766000,12
KK Nagar,1804,75,3.0,2.0,5,2,13-07-2001,376211,232366,11065040,9
Karapakkam,1058,111,1.0,1.0,3,2,22-07-1999,437808,100331,9121000,12
Chrompt,884,104,1.0,1.0,3,2,15-10-1999,261060,67682,9668900,8
KK Nagar,2321,18,4.0,2.0,6,0,16-08-1987,440358,112912,11291220,9
Karapakkam,1603,70,2.0,2.0,4,2,13-09-2003,605333,281550,14077500,12
Adyar,715,131,1.0,1.0,2,2,02-11-1997,348864,95145,10571650,0
Karapakkam,1397,118,2.0,2.0,4,2,11-02-1963,444960,177984,9888000,12
Anna Nagar,1604,188,1.0,1.0,4,2,16-03-1985,389564,246724,12985460,4
KK Nagar,1533,195,2.0,1.0,4,0,24-12-1986,513771,231197,12844280,9
Anna Nagar,1744,159,1.0,1.0,4,2,13-05-1995,511785,138320,13832030,4
Chrompet,1097,132,1.0,1.0,3,0,14-12-1984,228595,35168,8792100,7
Chrompet,748,93,1.0,1.0,2,0,07-08-1978,311090,139454,10727250,7
Adyar,847,191,1.0,1.0,3,0,05-06-1984,157627,15763,5254245,0
T Nagar,1535,50,1.0,1.0,4,0,05-04-1996,581244,108983,18163890,13
Karapakkam,1558,200,2.0,2.0,4,0,29-01-1967,239624,77525,7047750,12
Velachery,1696,63,2.0,1.0,4,0,06-11-1996,303203,142127,9475100,15
Anna Nagar,1868,157,2.0,1.0,5,2,16-04-1992,367011,131075,13107540,4
Karapakkam,591,8,1.0,1.0,2,0,31-01-2001,175976,146647,5865875,12
Anna Nagar,1539,39,1.0,1.0,4,0,09-05-1992,372621,164392,10959440,4
Anna Nagar,1594,18,1.0,1.0,4,2,30-03-1969,490900,167940,12918430,4
Chrompet,1074,140,1.0,1.0,3,2,08-11-1976,435516,168587,14048900,7
Chrompet,736,167,1.0,1.0,2,0,04-04-1999,257920,82534,10316800,7
Chrompet,904,98,1.0,1.0,3,0,27-12-1975,195796,31327,7831830,7
Chrompet,802,107,1.0,1.0,3,2,19-02-2000,415077,207538,12971150,7
Karapakkam,1445,111,2.0,2.0,4,0,13-10-1973,307423,219588,8783500,12
Velachery,1623,91,2.0,1.0,4,0,29-04-2003,372476,206931,10346560,15
Anna Nagar,1978,193,2.0,1.0,5,2,10-04-1979,401121,96822,13831750,4
Karapakkam,1546,105,2.0,2.0,4,0,09-03-1967,375323,158470,8340500,12
KK Nagar,1896,182,3.0,2.0,5,0,13-01-1997,460302,230151,10461400,9
KK Nagar,1673,47,2.0,1.0,4,2,11-04-1992,797727,341883,16280140,9
KK Nagar,2334,153,4.0,2.0,6,0,12-07-2001,836283,313606,17422560,9
Chrompet,1114,106,1.0,1.0,3,0,21-06-1976,304085,101362,9214700,7
Chrompet,776,97,1.0,1.0,2,2,12-12-2003,263602,24713,8237550,7
Karapakkam,1675,185,2.0,2.0,4,2,09-06-2005,359481,174294,10893375,12
T Nagar,1590,39,1.0,1.0,4,2,30-05-1975,765428,161143,20142850,13
T Nagar,1639,76,1.0,1.0,4,0,20-08-2008,591142,374390,19704720,13
Velachery,1712,182,2.0,1.0,4,2,07-08-1961,309236,65102,8137800,15
Adyar,1118,145,1.0,1.0,3,2,17-02-1974,275585,33404,8351070,0
Adyar,792,93,1.0,1.0,2,0,09-11-1997,361842,123788,9522150,0
Adyar,1190,37,1.0,1.0,3,2,29-01-1982,317885,48164,9632875,0
Chrompet,1243,77,2.0,1.0,4,0,28-08-1991,284081,142040,9469350,7
Anna Nagar,1657,105,1.0,1.0,4,0,19-10-1996,472532,157511,12116210,4
Chrompet,1008,84,1.0,1.0,3,0,26-11-1980,233124,139874,9324960,7
Velachery,1658,19,2.0,1.0,4,2,06-12-1985,563446,183120,14086140,15
KK Nagar,1381,127,2.0,1.0,4,0,21-04-2002,625417,119761,13306740,9
Karapakkam,929,14,1.0,1.0,3,0,20-02-2003,361841,169373,7698750,12
Chrompet,1166,31,1.0,1.0,3,0,31-07-2009,262422,171584,10093170,7
Chrompet,1239,75,2.0,1.0,4,0,20-05-1977,255297,127649,9819130,7
Chrompet,1231,120,2.0,1.0,4,0,22-02-1989,239824,163080,9592970,7
Anna Nagar,1973,49,2.0,1.0,5,0,26-08-1975,475737,73190,12198380,4
KK Nagar,2244,98,4.0,2.0,6,0,21-07-1988,593093,160629,12356100,9
Karapakkam,1577,113,2.0,2.0,4,2,14-07-1991,287557,106998,6687375,12
T Nagar,1854,5,2.0,1.0,5,2,27-01-1971,433973,242514,12763900,13
Chrompet,1109,60,1.0,1.0,3,0,05-06-1997,302356,171335,10078530,7
KK Nagar,1801,115,3.0,2.0,5,0,15-02-2003,331070,165535,10345940,9
Chrompet,1257,35,2.0,1.0,4,0,17-02-1974,426985,179058,13773700,7
Karapakkam,531,41,1.0,1.0,2,0,04-11-1976,154452,41438,3767125,12
Karapakkam,1380,185,2.0,2.0,4,0,26-04-1981,396739,198369,8624750,12
KK Nagar,1758,14,2.0,1.0,4,0,12-04-1995,292072,185864,8850660,9
Anna Nagar,1777,192,1.0,1.0,4,2,24-07-2007,569512,113902,14237800,4
Anna Nagar,1943,108,2.0,1.0,5,0,06-01-1986,380125,267495,14078710,4
Velachery,1964,128,3.0,2.0,5,2,07-02-2005,417532,139177,10705950,15
Anna Nagar,1777,139,1.0,1.0,4,2,10-08-1977,452446,268640,14138950,4
Anna Nagar,1751,99,1.0,1.0,4,0,21-03-1990,401345,116179,10561720,4
KK Nagar,1573,76,2.0,1.0,4,0,23-03-1988,373472,186736,9336800,9
KK Nagar,1438,27,2.0,1.0,4,2,13-12-1983,495012,261256,13750340,9
Adyar,925,19,1.0,1.0,3,0,30-06-1975,292021,82365,7487725,0
Chrompet,1280,78,2.0,1.0,4,0,16-09-1997,278205,171203,10700200,7
Adyar,947,151,1.0,1.0,3,2,15-05-1994,321531,8931,8931410,0
T Nagar,1981,162,2.0,1.0,5,0,27-06-1974,543029,139238,13923830,13
KK Nagar,1554,169,2.0,1.0,4,0,02-08-1995,377780,217224,9444500,9
Velachery,1762,196,2.0,1.0,4,2,02-06-1972,302593,142396,8899780,15
Anna Nagar,1835,52,2.0,1.0,5,0,28-12-1988,453793,113448,12605360,4
KK Nagar,1351,41,2.0,1.0,4,2,26-04-1984,475908,128892,9914760,9
Chrompet,750,33,1.0,1.0,2,0,18-11-1988,198869,111367,7954750,7
Velachery,1598,7,2.0,1.0,4,0,06-08-1961,405712,183225,13087480,15
Velachery,1856,52,3.0,2.0,5,2,08-03-1966,348925,188608,9430410,15
Velachery,1584,11,2.0,1.0,4,0,18-08-1961,261860,90014,8183130,15
Adyar,852,68,1.0,1.0,3,0,22-01-1988,317515,41778,8355660,0
Karapakkam,1650,14,2.0,2.0,4,2,10-11-1964,411626,84436,10554500,12
Karapakkam,1606,40,2.0,2.0,4,0,31-01-2000,370293,113355,7557000,12
Adyar,1152,80,1.0,1.0,3,2,23-10-1969,370321,60052,10008685,0
KK Nagar,1763,79,2.0,1.0,4,2,08-01-1992,499472,304556,12182240,9
Anna Nagar,1969,76,2.0,1.0,5,2,25-04-1993,893744,183332,22916500,4
Adyar,994,185,1.0,1.0,3,2,27-04-1982,266604,14411,7205505,0
T Nagar,1566,68,1.0,1.0,4,0,16-05-1989,347987,145930,11225380,13
Chrompet,914,52,1.0,1.0,3,2,23-08-2004,384331,132114,12010350,7
Anna Nagar,1757,19,1.0,1.0,4,0,26-06-1982,449901,94716,11839510,4
Adyar,1241,62,2.0,2.0,4,0,17-12-1977,422756,95120,10568895,0
Velachery,1926,150,3.0,2.0,5,0,16-11-1968,518512,133332,14814620,15
Velachery,1531,67,2.0,1.0,4,0,29-01-1995,202360,134907,6745340,15
Adyar,928,126,1.0,1.0,3,0,31-07-1969,360254,158936,10595700,0
Velachery,1716,113,2.0,1.0,4,0,22-04-1963,264437,62220,7777550,15
Velachery,1637,192,2.0,1.0,4,2,05-09-1995,279459,162266,9014800,15
Chrompet,1286,103,2.0,1.0,4,2,10-12-1998,320275,96082,10675820,7
Karapakkam,1694,61,2.0,2.0,4,0,15-08-1993,342165,250921,11405500,12
Chrompet,770,25,1.0,1.0,2,0,08-12-1990,325933,98768,9876750,7
Velachery,1677,199,2.0,1.0,4,2,18-05-1984,336650,132888,8859220,15
Adyar,790,200,1.0,1.0,2,0,11-07-1978,341531,107338,9758035,0
Chrompet,1115,144,1.0,1.0,3,2,26-02-1975,225140,108067,9005600,7
KK Nagar,1723,86,2.0,1.0,4,0,05-04-1986,283987,100769,9160860,9
Karapakkam,1013,164,1.0,1.0,3,0,05-05-1983,380440,133154,9511000,12
Karapakkam,1143,29,1.0,1.0,3,0,10-04-1964,273568,65418,5947125,12
KK Nagar,1676,172,2.0,1.0,4,2,19-08-2000,503078,121958,15244800,9
Adyar,960,166,1.0,1.0,3,2,16-05-1982,252843,50569,8428090,0
T Nagar,1849,150,2.0,1.0,5,0,24-03-1992,482165,241082,13393470,13
Karapakkam,850,99,1.0,1.0,2,0,31-07-1981,189851,58118,3874500,12
Chrompet,935,192,1.0,1.0,3,2,06-04-1990,380474,80707,11529500,7
Karapakkam,1247,185,1.0,1.0,3,2,14-08-1981,365772,150612,10758000,12
Karapakkam,1420,30,2.0,2.0,4,0,30-10-2005,399608,217968,9082000,12
Chrompet,989,1,1.0,1.0,3,0,29-11-2002,232898,111791,9315900,7
Chrompet,1227,143,2.0,1.0,4,2,10-11-1996,238831,132684,8845600,7
Velachery,1626,102,2.0,1.0,4,0,09-08-1957,239494,79831,7257400,15
Chrompet,787,162,1.0,1.0,2,2,20-12-1976,311799,182779,10751700,7
Velachery,1576,46,2.0,1.0,4,2,30-04-1979,316988,171345,8567240,15
Karapakkam,594,195,1.0,1.0,2,0,18-08-1969,201723,69011,5308500,12
Chormpet,991,105,1.0,1.0,3,0,03-05-1980,236655,52590,8765000,5
Karapakkam,684,101,1.0,1.0,2,0,13-02-1978,184087,50918,3916750,12
Velachery,1717,26,2.0,1.0,4,0,17-04-1979,221097,58959,7369890,15
Adyar,1195,139,1.0,1.0,3,2,09-02-2002,327780,28922,9640575,0
Chrompet,951,73,1.0,1.0,3,0,28-04-2003,292230,146115,11239600,7
Karapakkam,825,200,1.0,1.0,2,2,17-12-1981,325344,67780,6778000,12
KK Nagar,2498,153,4.0,2.0,6,2,12-06-1985,940813,422406,19200260,9
Karapakkam,830,93,1.0,1.0,2,0,09-03-1992,169680,93324,4242000,12
Karapakkam,1459,155,2.0,2.0,4,2,25-01-1979,311651,155826,10388375,12
Chrompet,820,16,1.0,1.0,3,0,15-07-1983,214622,24764,8254700,7
KK Nagar,2434,28,4.0,2.0,6,2,26-10-1996,459575,272873,14361720,9
Karapakkam,1647,61,2.0,2.0,4,2,11-11-1997,455952,199479,9499000,12
Karapakkam,847,36,1.0,1.0,2,2,17-01-1980,258932,122652,6814000,12
Anna Nagar,1863,132,2.0,1.0,5,2,24-05-1985,467564,90496,15082700,4
Adyar,1080,171,1.0,1.0,3,2,18-02-2001,326939,63278,10546405,0
Chrompet,1292,6,2.0,1.0,4,0,15-08-2003,263145,155938,9746100,7
KK Nagar,1883,97,3.0,2.0,5,2,09-07-1978,400675,137374,11447860,9
Velachery,1748,76,2.0,1.0,4,0,19-01-1958,342608,66618,9516880,15
Karapakkam,1621,9,2.0,2.0,4,0,16-10-1973,234984,151603,7580125,12
KK Nagar,2061,64,3.0,2.0,5,2,07-08-1999,500455,113740,11373980,9
Velachery,1521,78,2.0,1.0,4,0,20-02-1982,436632,231158,12842120,15
Chrompet,839,71,1.0,1.0,3,2,03-04-1988,291256,186404,11650250,7
Chrompet,1296,170,2.0,1.0,4,0,22-11-2007,306450,105342,9576550,7
Chrompet,1027,4,1.0,1.0,3,2,08-07-1999,268699,74124,9265490,7
KK Nagar,1921,28,3.0,2.0,5,0,23-01-1995,556393,124905,11354960,9
Adyar,855,117,1.0,1.0,3,2,07-03-1975,234452,31260,7815055,0
Velachery,1857,170,3.0,2.0,5,2,25-09-1959,336220,193581,10188470,15
Chrompet,920,67,1.0,1.0,3,2,12-03-1972,257919,46057,9211400,7
Velachery,1781,109,2.0,1.0,4,0,31-12-1954,491862,122966,12296550,15
Anna Nagar,1658,110,1.0,1.0,4,0,16-07-1966,240378,115382,9615130,4
Karapakkam,1611,28,2.0,2.0,4,2,02-07-1967,520659,190485,12699000,12
KK Nagar,1339,26,2.0,1.0,4,2,22-06-2005,387965,266033,11084700,9
Karapakkam,876,140,1.0,1.0,2,2,17-08-1983,338150,169075,6763000,12
Velachery,1880,149,3.0,2.0,5,0,28-03-1992,572815,256259,15074080,15
Karapakkam,1227,95,1.0,1.0,3,2,20-03-1981,248463,94416,4969250,12
Chrompet,918,99,1.0,1.0,3,0,13-05-1982,236133,148676,8745660,7
Chrompet,750,78,1.0,1.0,2,2,15-11-1989,323268,114708,10428000,7
Anna Nagar,1631,137,1.0,1.0,4,0,20-09-1970,320043,175508,10323980,4
Karapakkam,782,71,1.0,1.0,2,0,05-08-1965,179182,62956,4842750,12
Chrompet,1258,73,2.0,1.0,4,2,31-10-1985,278873,122704,11154910,7
T Nagar,1536,5,1.0,1.0,4,2,17-08-2002,420911,204078,12754890,13
Karapakkam,643,167,1.0,1.0,2,0,27-07-1969,266541,91014,6501000,12
Adyar,919,111,1.0,1.0,3,2,06-09-2000,290490,105633,8802735,0
Karapakkam,1180,81,1.0,1.0,3,0,18-01-1993,393237,75301,8366750,12
Adyar,1167,15,1.0,1.0,3,0,31-08-2004,366611,41898,10474605,0
Velachery,1698,47,2.0,1.0,4,2,29-12-1975,388845,94584,10509330,15
Adyar,1051,38,1.0,1.0,3,0,28-10-1978,291262,121359,8090620,0
Chrompet,881,79,1.0,1.0,3,0,19-07-2008,253313,61144,8734920,7
Karapakkam,1042,82,1.0,1.0,3,2,17-11-1972,318463,82800,6369250,12
Velachery,1954,24,3.0,2.0,5,0,13-06-1973,284533,75876,9484440,15
Adyar,919,147,1.0,1.0,3,0,26-05-1968,297930,130344,9310300,0
Karapakkam,1287,19,1.0,1.0,3,0,12-10-1992,324126,120390,9260750,12
Anna Nagar,1793,90,1.0,1.0,4,2,07-05-2005,382402,158235,13186280,4
KK Nagar,1814,159,3.0,2.0,5,2,05-05-1991,520696,341707,16271740,9
Velachery,1889,117,3.0,2.0,5,0,08-05-1970,263209,73114,7311370,15
Velachery,1642,80,2.0,1.0,4,0,18-02-1968,384571,221420,11653680,15
Velachery,1910,28,3.0,2.0,5,0,28-09-1999,522441,284968,15831550,15
Chrompet,990,11,1.0,1.0,3,0,26-04-2000,197161,124138,7302250,7
KK Nagar,1842,150,3.0,2.0,5,2,04-10-1985,369047,238095,11904740,9
Karapakkam,825,50,1.0,1.0,2,0,20-09-1994,353619,120975,9305750,12
Chrompet,802,157,1.0,1.0,3,2,26-01-2001,277027,121199,8657100,7
Karapakkam,858,160,1.0,1.0,2,0,05-04-1999,207265,140044,5601750,12
KK Nagar,1499,130,2.0,1.0,4,2,13-05-1987,430726,215363,9789220,9
Anna Nagar,1828,26,2.0,1.0,5,2,15-09-1975,782091,267557,20581330,4
Chrompet,717,100,1.0,1.0,2,2,15-11-1983,239481,84977,7725200,7
Karapakkam,504,133,1.0,1.0,2,0,02-06-2002,287779,161437,7019000,12
Anna Nagar,1823,11,2.0,1.0,5,2,30-04-1985,388891,227971,13410030,4
KK Nagar,1721,33,2.0,1.0,4,2,18-05-1981,377378,254985,10199400,9
T Nagar,1734,28,1.0,1.0,4,0,25-09-1962,756758,227027,18918950,13
Chrompet,787,147,1.0,1.0,2,2,16-07-1979,351104,140441,11703450,7
Chrompet,1265,30,2.0,1.0,4,0,07-10-1985,253115,165498,9735200,7
Velachery,1967,142,3.0,2.0,5,0,26-10-1971,368112,108268,10826810,15
Chrompet,1008,148,1.0,1.0,3,2,28-03-2002,399730,38684,12894500,7
Chrompet,1120,166,1.0,1.0,3,2,27-09-1977,356636,211340,13208750,7
Anna Nagar,1952,53,2.0,1.0,5,2,05-03-1965,693887,126161,21026890,4
Karapakkam,1100,199,1.0,1.0,3,0,29-05-1964,179479,135969,5438750,12
Adyar,1098,18,1.0,1.0,3,2,25-05-1975,337805,63338,10556410,0
KK Nagar,1470,3,2.0,1.0,4,0,22-11-1992,375697,164940,9163340,9
Chrompet,970,152,1.0,1.0,3,2,10-11-1990,216449,67174,7463750,7
KK Nagar,1432,111,2.0,1.0,4,2,28-10-1983,344687,183833,11489580,9
Karapakkam,790,119,1.0,1.0,2,0,01-03-1994,231895,85435,6102500,12
Chrompet,1149,52,1.0,1.0,3,0,09-03-2006,398296,233484,13734350,7
Chrompet,762,154,1.0,1.0,2,0,24-12-1983,204076,56297,7037100,7
Chrompet,847,6,1.0,1.0,3,2,09-01-1978,223286,107177,8931450,7
Velachery,1954,131,3.0,2.0,5,2,04-10-1981,304545,101515,10151490,15
KK Nagar,2232,172,4.0,2.0,6,2,07-01-1999,591119,225188,14074260,9
Anna Nagar,1587,37,1.0,1.0,4,2,21-09-1970,683649,105177,17529450,4
T Nagar,1891,100,2.0,1.0,5,2,05-06-1996,575844,170620,21327550,13
KK Nagar,1916,193,3.0,2.0,5,0,08-02-1988,500831,95904,10655980,9
Velachery,1622,62,2.0,1.0,4,2,02-03-1991,359784,190474,10581870,15
Velachery,1812,41,3.0,2.0,5,0,11-09-2004,542691,120598,15074740,15
Adyar,1010,121,1.0,1.0,3,2,25-03-1989,304343,39270,9817500,0
T Nagar,1526,80,1.0,1.0,4,2,01-11-1991,530201,194407,17673370,13
Chrompet,775,34,1.0,1.0,2,0,09-10-1971,211304,105652,6603250,7
Karapakkam,1239,78,1.0,1.0,3,2,11-01-1996,184376,47581,5947625,12
Anna Nagar,1538,94,1.0,1.0,4,0,09-10-1971,287791,163082,9593040,4
Anna Nagar,1853,142,2.0,1.0,5,0,08-06-1972,759431,389978,20525170,4
Velachery,1536,37,2.0,1.0,4,2,12-03-1982,517869,220094,12946730,15
KK Nagar,2241,10,4.0,2.0,6,2,10-05-1983,477329,238665,12561300,9
Velachery,1709,153,2.0,1.0,4,2,02-12-1974,300949,138274,8133770,15
Chrompet,1282,137,2.0,1.0,4,0,11-04-2001,471051,106366,15195200,7
Karapakkam,1319,55,1.0,1.0,3,0,01-07-1970,161381,109170,4746500,12
Adyar,994,14,1.0,1.0,3,2,22-07-1974,352984,83055,10381895,0
Chrompet,782,192,1.0,1.0,2,0,23-12-1981,212986,88132,7344340,7
KK Nagar,2235,21,4.0,2.0,6,0,09-03-1993,891866,455034,18201340,9
Adyar,650,159,1.0,1.0,2,2,27-09-1989,299640,90800,9080015,0
Anna Nagar,1677,55,1.0,1.0,4,0,14-01-1969,414067,84937,10617090,4
Adyar,684,82,1.0,1.0,2,0,12-06-1974,173885,64063,4575925,0
Chrompet,1128,41,1.0,1.0,3,2,20-03-2004,303960,49026,9805150,7
KK Nagar,1360,157,2.0,1.0,4,2,17-08-1991,492311,214597,12623360,9
Chrompet,895,193,1.0,1.0,3,2,07-12-1986,295535,38134,9533400,7
Chrompet,1227,104,2.0,1.0,4,2,14-11-1980,314977,157489,10499240,7
T Nagar,1720,187,1.0,1.0,4,0,03-10-2000,388983,125848,11440690,13
Karapakkam,1003,42,1.0,1.0,3,0,21-12-1998,282570,84771,7064250,12
KK Nagar,2114,106,3.0,2.0,5,0,21-01-1991,778771,406315,16929800,9
Chrompet,973,155,1.0,1.0,3,2,15-02-1984,245263,143775,8457350,7
Velachery,1655,139,2.0,1.0,4,2,26-12-1976,314127,174515,8725740,15
Adyar,910,141,1.0,1.0,3,0,26-12-1969,208434,45595,6513570,0
Adyar,840,97,1.0,1.0,3,2,21-01-1972,274318,34290,8572425,0
KK Nagar,1835,194,3.0,2.0,5,0,29-07-1996,526771,247892,15493260,9
Chrompet,1001,1,1.0,1.0,3,0,05-05-2000,272281,77795,9724320,7
Anna Nagar,1646,94,1.0,1.0,4,2,29-10-2000,800245,389863,20519100,4
Chrompet,907,38,1.0,1.0,3,0,16-07-1984,286305,107364,8947040,7
Adyar,809,171,1.0,1.0,3,2,04-04-1999,361745,108524,9043635,0
Chrompet,1278,99,2.0,1.0,4,0,29-04-1986,394127,145973,14597300,7
Chrompet,1051,66,1.0,1.0,3,0,04-10-1989,251373,55861,9310120,7
Adyar,1054,59,1.0,1.0,3,0,05-06-1997,239942,15480,7740080,0
Karapakkam,971,161,1.0,1.0,3,2,16-03-1999,408400,142052,8878250,12
KK Nagar,1956,103,3.0,2.0,5,0,15-01-1980,516993,150095,16677180,9
Anna Nagar,1921,106,2.0,1.0,5,2,17-04-1967,457635,257419,14301080,4
Karapakkam,947,102,1.0,1.0,3,2,23-03-1965,171240,104954,5523875,12
Velachery,1514,67,2.0,1.0,4,2,24-10-1968,285565,111053,7932350,15
Karapakkam,1125,176,1.0,1.0,3,0,15-03-1969,306765,193746,8072750,12
Karapakkam,1394,60,2.0,2.0,4,2,05-11-1967,243679,111396,6962250,12
Karapakkam,1609,60,2.0,2.0,4,0,10-08-1989,428241,129770,12977000,12
T Nagar,1916,166,2.0,1.0,5,0,15-11-2003,342548,184449,13174940,13
Chrompet,1015,24,1.0,1.0,3,0,24-03-2005,255486,92904,7742000,7
Chrompet,835,124,1.0,1.0,3,0,15-01-1984,230883,83957,6996450,7
Anna Nagar,1617,128,1.0,1.0,4,0,06-12-1976,329667,181885,11367820,4
T Nagar,1901,75,2.0,1.0,5,0,20-03-1993,448049,238026,14001530,13
Anna Nagar,1548,81,1.0,1.0,4,2,15-12-1974,557957,111591,18598580,4
Anna Nagar,1660,50,1.0,1.0,4,2,15-02-1982,371792,174278,11618510,4
Karapakkam,890,163,1.0,1.0,3,2,09-07-1994,322356,120884,6715750,12
Chrompet,956,134,1.0,1.0,3,2,31-03-1978,296124,130294,11844950,7
Velachery,1841,37,3.0,2.0,5,2,19-02-1960,356258,183875,11492190,15
Chrompet,1280,185,2.0,1.0,4,0,17-03-2004,396308,127385,14153850,7
Anna Nagar,1636,66,1.0,1.0,4,2,24-02-1990,498902,256193,13483830,4
KK Nagar,2204,126,3.0,2.0,5,2,10-10-2002,490282,208370,12257060,9
Karapakkam,1203,199,1.0,1.0,3,2,16-11-1999,282793,144405,6016875,12
Chrompet,1122,33,1.0,1.0,3,0,14-03-1985,200395,48095,8015800,7
Anna Nagar,1574,78,1.0,1.0,4,0,22-07-1980,363121,77026,11003670,4
KK Nagar,1374,172,2.0,1.0,4,0,10-08-1994,477334,233796,9741520,9
Velachery,1746,163,2.0,1.0,4,2,22-08-1974,449672,177143,13626420,15
